id,name,countryCode,masl,lon,lat
SN63580,ÅNGÅRDSVATNET,NO,596.0,9.1967,62.6708
SN90980,OLDERVIK,NO,17.0,19.6647,69.7565
SN58780,NORDFJORDEID - NYMARK,NO,34.0,6.0392,61.9183
SN99790,ISFJORD RADIO,SJ,7.0,13.6192,78.0625
SN55550,HAFSLO,NO,246.0,7.1887,61.2925
SN244120,LEKSAND,SE,175.0,15.0167,60.7256
SN42720,BAKKE,NO,75.0,6.657,58.4117
SN97251,KARASJOK - MARKANNJARGA,NO,131.0,25.5023,69.4635
SN227190,HOLMFORS D,SE,150.0,20.5185,64.7855
SN264800,VAXJO,SE,199.0,14.8325,56.8463888888889
SN83300,STEIGEN,NO,31.0,15.1123,67.923
SN85480,E10 GIMSØYSTRAUMEN BRU,NO,20.0,14.2498,68.2628
SN97350,CUOVDDATMOHKKI,NO,286.0,24.4312,69.3695
SN1227200,OLSZTYN,PL,133.0,20.4227777777778,53.7711111111111
SN88100,BONES I BARDU,NO,230.0,18.2442,68.6457
SN310000,TIREE,GB,12.0,-6.88277777777778,56.5
SN57150,E39 HALBRENDSLIA,NO,247.0,5.8222,61.4413
SN34370,E18 FARSJØ,NO,60.0,9.3323,58.9397
SN713000,RENNES-SAINT JACQUES,FR,38.0,-1.73388888888889,48.0688888888889
SN34810,TØRDAL - KLEPPE,NO,489.0,8.7345,59.1707
SN73550,GARTLAND,NO,95.0,12.3837,64.531
SN88623,STEINFJORD,NO,5.0,17.35,69.4625
SN27435,NØTTERØY - VESTSKOGEN,NO,25.0,10.4023,59.2417
SN19405,BÆRUM - STORØYA,NO,5.0,10.608,59.8909
SN307500,WICK AIRPORT,GB,38.0,-3.09,58.4538888888889
SN67270,E6 SOKNEDAL,NO,160.0,10.2373,62.983
SN27785,E18 RØDBØL,NO,70.0,10.1062,59.107
SN27130,FV310 KOTTERUD,NO,40.0,10.4217,59.432
SN202000,KATTERJAKK,SE,516.0,18.1713888888889,68.4211111111111
SN96850,TANA BRU,NO,32.0,28.159,70.2122
SN57365,E39 VASSENDEN,NO,210.0,6.1298,61.5027
SN13125,E6 TINGBERG,NO,200.0,10.2868,61.2865
SN763000,TOULOUSE BLAGNAC,FR,152.0,1.37888888888889,43.6211111111111
SN2202800,TERIBERKA,RU,33.0,35.1069444444444,69.2022222222222
SN96931,POLMAK TOLLSTED,NO,18.0,28.0012,70.0733
SN46150,SAND I RYFYLKE II,NO,25.0,6.276,59.4791
SN8720,ATNSJØEN,NO,749.0,10.1398,61.8902
SN68230,TRONDHEIM - RISVOLLAN,NO,84.0,10.4228226,63.3986067
SN29400,SANDHAUG,NO,1250.0,7.4805,60.1833
SN261600,FALSTERBO,SE,3.0,12.8194444444444,55.3838888888889
SN30270,PORSGRUNN - KJØLNES,NO,4.0,9.6663,59.1405
SN80880,SANDHORNØYA - VÅTVIKFJELLET,NO,600.0,14.1663,67.093
SN70850,SNÅSA - KJEVLIA,NO,195.0,12.4692,64.1587
SN91530,GAMANJUNNI,NO,1237.0,20.5787,69.4818
SN802700,SAN SEBASTIAN/IGUELDO,ES,251.0,-2.04111111111111,43.3063888888889
SN228790,VÄNNÄS D,SE,100.0,19.8144,63.9226
